Core Proteins,Interacting Proteins,Pathways,HPO terms,Diseases,Targeting Drugs,Experimental Bioactive Compounds (pChEMBL),Predicted interacting Compounds
TERT (O14746),TERT (O14746); CTNNB1 (P35222),,HP:0006753 Neoplasm of the stomach[scr:261]; HP:0001428 Somatic mutation[scr:117]; HP:0007378 Neoplasm of the gastrointestinal tract[scr:95],H00018 Gastric cancer (KEGG)[scr:9999999],,,,,,,
NRAS (P01111),,R-HSA-6802953 RAS signaling downstream of NF1 loss-of-function variants[scr:1236]; R-HSA-8851805 MET activates RAS signaling[scr:1011]; R-HSA-1169092 Activation of RAS in B cells[scr:989]; R-HSA-112412 SOS-mediated signalling[scr:706]; R-HSA-442982 Ras activation upon Ca2+ influx through NMDA receptor[scr:695]; R-HSA-1963640 GRB2 events in ERBB2 signaling[scr:695]; hsa04015 Rap1 signaling pathway[scr:61]; hsa04218 Cellular senescence[scr:51]; hsa04371 Apelin signaling pathway[scr:45]; hsa04720 Long-term potentiation[scr:45]; hsa04916 Melanogenesis[scr:44]; hsa04625 C-type lectin receptor signaling pathway[scr:43]; hsa04722 Neurotrophin signaling pathway[scr:38]; hsa04912 GnRH signaling pathway[scr:33]; hsa04014 Ras signaling pathway[scr:27]; hsa04012 ErbB signaling pathway[scr:25]; hsa04151 PI3K-Akt signaling pathway[scr:24]; hsa04550 Signaling pathways regulating pluripotency of stem cells[scr:23]; hsa04910 Insulin signaling pathway[scr:23]; hsa04915 Estrogen signaling pathway[scr:22],HP:0006753 Neoplasm of the stomach[scr:261]; HP:0200022 Choroid plexus papilloma[scr:163]; HP:0002731 Decreased lymphocyte apoptosis[scr:146]; HP:0030886 Abnormal lymphocyte apoptosis[scr:146]; HP:0001428 Somatic mutation[scr:117]; HP:0010817 Linear nevus sebaceous[scr:108]; HP:0010815 Nevus sebaceous[scr:108]; HP:0006740 Transitional cell carcinoma of the bladder[scr:102]; HP:0007378 Neoplasm of the gastrointestinal tract[scr:95]; HP:0002862 Bladder carcinoma[scr:92],Orphanet:268114 RAS-associated autoimmune leukoproliferative disease (EFO)[scr:69]; H00018 Gastric cancer (KEGG)[scr:9999999]; H00032 Thyroid cancer (KEGG)[scr:110]; H01666 Angiosarcoma (KEGG)[scr:94]; H00016 Oral cancer (KEGG)[scr:79],,,,,,,
KRAS (P01116),,R-HSA-6802953 RAS signaling downstream of NF1 loss-of-function variants[scr:1236]; R-HSA-8851805 MET activates RAS signaling[scr:1011]; R-HSA-1169092 Activation of RAS in B cells[scr:989]; R-HSA-112412 SOS-mediated signalling[scr:706]; R-HSA-442982 Ras activation upon Ca2+ influx through NMDA receptor[scr:695]; R-HSA-1963640 GRB2 events in ERBB2 signaling[scr:695]; hsa04015 Rap1 signaling pathway[scr:61]; hsa04218 Cellular senescence[scr:51]; hsa04371 Apelin signaling pathway[scr:45]; hsa04720 Long-term potentiation[scr:45]; hsa04916 Melanogenesis[scr:44]; hsa04625 C-type lectin receptor signaling pathway[scr:43]; hsa04722 Neurotrophin signaling pathway[scr:38]; hsa04912 GnRH signaling pathway[scr:33]; hsa04014 Ras signaling pathway[scr:27]; hsa04012 ErbB signaling pathway[scr:25]; hsa04151 PI3K-Akt signaling pathway[scr:24]; hsa04550 Signaling pathways regulating pluripotency of stem cells[scr:23]; hsa04910 Insulin signaling pathway[scr:23]; hsa04915 Estrogen signaling pathway[scr:22],HP:0410067 Increased level of L-fucose in urine[scr:471]; HP:0031979 Abnormal urine carbohydrate level[scr:325]; HP:0012126 Stomach cancer[scr:275]; HP:0006753 Neoplasm of the stomach[scr:261]; HP:0002731 Decreased lymphocyte apoptosis[scr:146]; HP:0030886 Abnormal lymphocyte apoptosis[scr:146]; HP:0001428 Somatic mutation[scr:117]; HP:0010817 Linear nevus sebaceous[scr:108]; HP:0010815 Nevus sebaceous[scr:108]; HP:0012174 Glioblastoma multiforme[scr:107]; HP:0006740 Transitional cell carcinoma of the bladder[scr:102]; HP:0007378 Neoplasm of the gastrointestinal tract[scr:95]; HP:0002862 Bladder carcinoma[scr:92],MONDO:0001056 gastric cancer (EFO)[scr:9999999]; EFO:0000178 gastric carcinoma (EFO)[scr:485]; Orphanet:2612 Linear nevus sebaceus syndrome (EFO)[scr:69]; H00018 Gastric cancer (KEGG)[scr:9999999]; H00026 Endometrial cancer (KEGG)[scr:294]; H00046 Cholangiocarcinoma (KEGG)[scr:188]; H00047 Gallbladder cancer (KEGG)[scr:159]; H01557 Hepatic angiosarcoma (KEGG)[scr:141]; H00027 Ovarian cancer (KEGG)[scr:113]; H00032 Thyroid cancer (KEGG)[scr:110]; H01666 Angiosarcoma (KEGG)[scr:94]; H00019 Pancreatic cancer (KEGG)[scr:91]; H00016 Oral cancer (KEGG)[scr:79],,,,,,,
ERBB2 (P04626),ERBB2 (P04626); PTPRO (Q16827); TNS3 (Q68CZ2),R-HSA-1963640 GRB2 events in ERBB2 signaling[scr:695]; hsa04520 Adherens junction[scr:46]; hsa04012 ErbB signaling pathway[scr:25]; hsa04020 Calcium signaling pathway[scr:24]; hsa04151 PI3K-Akt signaling pathway[scr:24],HP:0410067 Increased level of L-fucose in urine[scr:471]; HP:0031979 Abnormal urine carbohydrate level[scr:325]; HP:0012126 Stomach cancer[scr:275]; HP:0006753 Neoplasm of the stomach[scr:261]; HP:0001428 Somatic mutation[scr:117]; HP:0012174 Glioblastoma multiforme[scr:107]; HP:0007378 Neoplasm of the gastrointestinal tract[scr:95],MONDO:0001056 gastric cancer (EFO)[scr:9999999]; EFO:0000178 gastric carcinoma (EFO)[scr:485]; MONDO:0008170 ovarian cancer (EFO)[scr:78]; EFO:0001075 ovarian carcinoma (EFO)[scr:78]; H00018 Gastric cancer (KEGG)[scr:9999999]; H00026 Endometrial cancer (KEGG)[scr:294]; H00046 Cholangiocarcinoma (KEGG)[scr:188]; H00027 Ovarian cancer (KEGG)[scr:113]; H00019 Pancreatic cancer (KEGG)[scr:91],DB00072 Trastuzumab[scr:9999999],,CHEMBL375144 [scr:10.04],,,,
TP53 (P04637),TP53 (P04637); S100A4 (P26447); BTBD2 (Q9BX70); USP42 (Q9H9J4); USP42 (Q9H9J4),R-HSA-6804116 TP53 Regulates Transcription of Genes Involved in G1 Cell Cycle Arrest[scr:795]; hsa04218 Cellular senescence[scr:51]; hsa04722 Neurotrophin signaling pathway[scr:38]; hsa04151 PI3K-Akt signaling pathway[scr:24],HP:0410067 Increased level of L-fucose in urine[scr:471]; HP:0031979 Abnormal urine carbohydrate level[scr:325]; HP:0006753 Neoplasm of the stomach[scr:261]; HP:0200022 Choroid plexus papilloma[scr:163]; HP:0006572 Subacute progressive viral hepatitis[scr:145]; HP:0001428 Somatic mutation[scr:117]; HP:0012174 Glioblastoma multiforme[scr:107]; HP:0006740 Transitional cell carcinoma of the bladder[scr:102]; HP:0007378 Neoplasm of the gastrointestinal tract[scr:95]; HP:0006562 Viral hepatitis[scr:93]; HP:0002862 Bladder carcinoma[scr:92],MONDO:0008734 adrenocortical carcinoma- hereditary (EFO)[scr:69]; H00018 Gastric cancer (KEGG)[scr:9999999]; H00026 Endometrial cancer (KEGG)[scr:294]; H00046 Cholangiocarcinoma (KEGG)[scr:188]; H00047 Gallbladder cancer (KEGG)[scr:159]; H01557 Hepatic angiosarcoma (KEGG)[scr:141]; H00027 Ovarian cancer (KEGG)[scr:113]; H00032 Thyroid cancer (KEGG)[scr:110]; H00044 Cancer of the anal canal (KEGG)[scr:94]; H00019 Pancreatic cancer (KEGG)[scr:91]; H00016 Oral cancer (KEGG)[scr:79]; H01007 Choroid plexus papilloma (KEGG)[scr:71],,,,,,,
MET (P08581),MET (P08581); PTPRO (Q16827); TNS3 (Q68CZ2),R-HSA-8851805 MET activates RAS signaling[scr:1011]; R-HSA-8875513 MET interacts with TNS proteins[scr:989]; hsa04015 Rap1 signaling pathway[scr:61]; hsa04520 Adherens junction[scr:46]; hsa04014 Ras signaling pathway[scr:27]; hsa04151 PI3K-Akt signaling pathway[scr:24],HP:0006572 Subacute progressive viral hepatitis[scr:145]; HP:0001428 Somatic mutation[scr:117]; HP:0007378 Neoplasm of the gastrointestinal tract[scr:95]; HP:0006562 Viral hepatitis[scr:93],Orphanet:249 Fibrous dysplasia of bone (EFO)[scr:69]; H00018 Gastric cancer (KEGG)[scr:9999999]; H00046 Cholangiocarcinoma (KEGG)[scr:188],DB13104 X-396[scr:1000000],CHEMBL3260967 (pChEMBL: 9.05) [scr:71.25]; CHEMBL3402761 (pChEMBL: 9) [scr:71.25]; CHEMBL3394472 (pChEMBL: 9) [scr:71.25],,,,,
RARB (P10826),,,,H00018 Gastric cancer (KEGG)[scr:9999999],DB02877 Arotinoid acid[scr:92],,,,,,
CDH1 (P12830),CDH1 (P12830); CTNNB1 (P35222); TNS3 (Q68CZ2),hsa04015 Rap1 signaling pathway[scr:61]; hsa04520 Adherens junction[scr:46]; hsa04371 Apelin signaling pathway[scr:45],HP:0012126 Stomach cancer[scr:275]; HP:0006753 Neoplasm of the stomach[scr:261]; HP:0001428 Somatic mutation[scr:117]; HP:0007378 Neoplasm of the gastrointestinal tract[scr:95]; HP:0100621 Dysgerminoma[scr:92],MONDO:0001056 gastric cancer (EFO)[scr:9999999]; MONDO:0008170 ovarian cancer (EFO)[scr:78]; EFO:0001075 ovarian carcinoma (EFO)[scr:78]; Orphanet:26106 Familial gastric cancer (EFO)[scr:69]; H00018 Gastric cancer (KEGG)[scr:9999999]; H00032 Thyroid cancer (KEGG)[scr:110],,,,,,,
FGFR2 (P21802),,R-HSA-8853333 Signaling by FGFR2 fusions[scr:1236]; R-HSA-2023837 Signaling by FGFR2 amplification mutants[scr:1236]; hsa04015 Rap1 signaling pathway[scr:61]; hsa04014 Ras signaling pathway[scr:27]; hsa04151 PI3K-Akt signaling pathway[scr:24]; hsa04550 Signaling pathways regulating pluripotency of stem cells[scr:23],HP:0410067 Increased level of L-fucose in urine[scr:471]; HP:0031979 Abnormal urine carbohydrate level[scr:325]; HP:0012126 Stomach cancer[scr:275]; HP:0006753 Neoplasm of the stomach[scr:261]; HP:0001428 Somatic mutation[scr:117]; HP:0007378 Neoplasm of the gastrointestinal tract[scr:95]; HP:0100621 Dysgerminoma[scr:92],Orphanet:207 Crouzon disease (EFO)[scr:69]; Orphanet:168624 Familial scaphocephaly syndrome- McGillivray type (EFO)[scr:69]; Orphanet:1555 Cutis gyrata - acanthosis nigricans - craniosynostosis (EFO)[scr:69]; H00018 Gastric cancer (KEGG)[scr:9999999]; H01755 Apert syndrome (KEGG)[scr:71],,,,,,,
CCNE1 (P24864),CDKN1B (P46527),R-HSA-8849470 PTK6 Regulates Cell Cycle[scr:824]; R-HSA-6804116 TP53 Regulates Transcription of Genes Involved in G1 Cell Cycle Arrest[scr:795]; R-HSA-69563 p53-Dependent G1 DNA Damage Response[scr:706]; hsa04218 Cellular senescence[scr:51]; hsa04151 PI3K-Akt signaling pathway[scr:24],,H00018 Gastric cancer (KEGG)[scr:9999999],,,,,,,
