Core Proteins,Interacting Proteins,Pathways,HPO terms,Diseases,Targeting Drugs,Experimental Bioactive Compounds (pChEMBL),Predicted interacting Compounds
TERT (O14746),TERT (O14746),,,H00018 Gastric cancer (KEGG)[scr:9999999],,,
NRAS (P01111),FRAT2 (O75474); CYLC2 (Q14093); tcsL (Q46342),R-HSA-9649913 RAS GTPase cycle mutants[scr:678]; R-HSA-8851805 MET activates RAS signaling[scr:416]; R-HSA-9634285 Constitutive Signaling by Overexpressed ERBB2[scr:416]; R-HSA-1169092 Activation of RAS in B cells[scr:407]; R-HSA-9634635 Estrogen-stimulated signaling through PRKCZ[scr:339]; R-HSA-6802953 RAS signaling downstream of NF1 loss-of-function variants[scr:291]; R-HSA-112412 SOS-mediated signalling[scr:291]; R-HSA-9665348 Signaling by ERBB2 ECD mutants[scr:286]; R-HSA-1963640 GRB2 events in ERBB2 signaling[scr:286]; hsa04015 Rap1 signaling pathway[scr:61]; hsa04916 Melanogenesis[scr:60]; hsa04218 Cellular senescence[scr:51]; hsa04371 Apelin signaling pathway[scr:45]; hsa04720 Long-term potentiation[scr:45]; hsa04625 C-type lectin receptor signaling pathway[scr:43]; hsa04722 Neurotrophin signaling pathway[scr:38]; hsa04550 Signaling pathways regulating pluripotency of stem cells[scr:33]; hsa04912 GnRH signaling pathway[scr:33]; hsa04014 Ras signaling pathway[scr:27]; hsa04012 ErbB signaling pathway[scr:25]; hsa04151 PI3K-Akt signaling pathway[scr:24]; hsa04910 Insulin signaling pathway[scr:23]; hsa04915 Estrogen signaling pathway[scr:22],HP:0200022 Choroid plexus papilloma[scr:174]; HP:0030886 Abnormal lymphocyte apoptosis[scr:131]; HP:0002731 Decreased lymphocyte apoptosis[scr:131]; HP:0010815 Nevus sebaceous[scr:116]; HP:0010817 Linear nevus sebaceous[scr:116]; HP:0005603 Numerous congenital melanocytic nevi[scr:87],MONDO:0009578 neurocutaneous melanocytosis (EFO)[scr:76]; MONDO:0044792 large congenital melanocytic nevus (EFO)[scr:76]; H00018 Gastric cancer (KEGG)[scr:9999999]; H00032 Thyroid cancer (KEGG)[scr:110]; H01666 Angiosarcoma (KEGG)[scr:94]; H00016 Oral cancer (KEGG)[scr:79],,,
KRAS (P01116),FRAT2 (O75474); KRAS (P01116); tcsL (Q46342),R-HSA-9649913 RAS GTPase cycle mutants[scr:678]; R-HSA-8851805 MET activates RAS signaling[scr:416]; R-HSA-9634285 Constitutive Signaling by Overexpressed ERBB2[scr:416]; R-HSA-1169092 Activation of RAS in B cells[scr:407]; R-HSA-9634635 Estrogen-stimulated signaling through PRKCZ[scr:339]; R-HSA-6802953 RAS signaling downstream of NF1 loss-of-function variants[scr:291]; R-HSA-112412 SOS-mediated signalling[scr:291]; R-HSA-9665348 Signaling by ERBB2 ECD mutants[scr:286]; R-HSA-1963640 GRB2 events in ERBB2 signaling[scr:286]; hsa04015 Rap1 signaling pathway[scr:61]; hsa04916 Melanogenesis[scr:60]; hsa04218 Cellular senescence[scr:51]; hsa04371 Apelin signaling pathway[scr:45]; hsa04720 Long-term potentiation[scr:45]; hsa04625 C-type lectin receptor signaling pathway[scr:43]; hsa04722 Neurotrophin signaling pathway[scr:38]; hsa04550 Signaling pathways regulating pluripotency of stem cells[scr:33]; hsa04912 GnRH signaling pathway[scr:33]; hsa04014 Ras signaling pathway[scr:27]; hsa04012 ErbB signaling pathway[scr:25]; hsa04151 PI3K-Akt signaling pathway[scr:24]; hsa04910 Insulin signaling pathway[scr:23]; hsa04915 Estrogen signaling pathway[scr:22],HP:0030886 Abnormal lymphocyte apoptosis[scr:131]; HP:0002731 Decreased lymphocyte apoptosis[scr:131]; HP:0010815 Nevus sebaceous[scr:116]; HP:0010817 Linear nevus sebaceous[scr:116]; HP:0012174 Glioblastoma multiforme[scr:99],MONDO:0001056 gastric cancer (EFO)[scr:9999999]; EFO:0000178 gastric carcinoma (EFO)[scr:534]; H00018 Gastric cancer (KEGG)[scr:9999999]; H00026 Endometrial cancer (KEGG)[scr:294]; H00046 Cholangiocarcinoma (KEGG)[scr:188]; H00047 Gallbladder cancer (KEGG)[scr:159]; H01557 Hepatic angiosarcoma (KEGG)[scr:141]; H00027 Ovarian cancer (KEGG)[scr:113]; H00032 Thyroid cancer (KEGG)[scr:110]; H01666 Angiosarcoma (KEGG)[scr:94]; H00019 Pancreatic cancer (KEGG)[scr:91]; H00016 Oral cancer (KEGG)[scr:79]; H00040 Squamous cell carcinoma (KEGG)[scr:71],,,
ERBB2 (P04626),SLC7A4 (O43246); FRAT2 (O75474); ERBB2 (P04626); CYLC2 (Q14093); RPRML (Q8N4K4),R-HSA-9634285 Constitutive Signaling by Overexpressed ERBB2[scr:416]; R-HSA-9665348 Signaling by ERBB2 ECD mutants[scr:286]; R-HSA-1963640 GRB2 events in ERBB2 signaling[scr:286]; hsa04520 Adherens junction[scr:67]; hsa04012 ErbB signaling pathway[scr:25]; hsa04020 Calcium signaling pathway[scr:24]; hsa04151 PI3K-Akt signaling pathway[scr:24],HP:0002888 Ependymoma[scr:109]; HP:0012174 Glioblastoma multiforme[scr:99],MONDO:0001056 gastric cancer (EFO)[scr:9999999]; EFO:0000178 gastric carcinoma (EFO)[scr:534]; MONDO:0008170 ovarian cancer (EFO)[scr:86]; EFO:0001075 ovarian carcinoma (EFO)[scr:86]; H00018 Gastric cancer (KEGG)[scr:9999999]; H00026 Endometrial cancer (KEGG)[scr:294]; H00046 Cholangiocarcinoma (KEGG)[scr:188]; H00027 Ovarian cancer (KEGG)[scr:113]; H00019 Pancreatic cancer (KEGG)[scr:91],DB05773 Trastuzumab emtansine[scr:85]; DB00072 Trastuzumab[scr:9999999],,CHEMBL375144 [scr:10.04]
TP53 (P04637),ZIC3 (O60481); TP53 (P04637); cobB (Q9WYW0); Smyd2 (Q8R5A0),R-HSA-6804116 TP53 Regulates Transcription of Genes Involved in G1 Cell Cycle Arrest[scr:327]; hsa04218 Cellular senescence[scr:51]; hsa04722 Neurotrophin signaling pathway[scr:38]; hsa04151 PI3K-Akt signaling pathway[scr:24],HP:0200022 Choroid plexus papilloma[scr:174]; HP:0006572 Subacute progressive viral hepatitis[scr:155]; HP:0002888 Ependymoma[scr:109]; HP:0006562 Viral hepatitis[scr:100]; HP:0012174 Glioblastoma multiforme[scr:99]; HP:0500022 Abnormal serum dehydroepiandrosterone level[scr:87]; HP:0002885 Medulloblastoma[scr:87]; HP:0025436 Elevated serum 11-deoxycortisol[scr:87]; HP:0025380 Increased serum androstenedione[scr:87],MONDO:0008734 adrenocortical carcinoma- hereditary (EFO)[scr:76]; H00018 Gastric cancer (KEGG)[scr:9999999]; H00026 Endometrial cancer (KEGG)[scr:294]; H00046 Cholangiocarcinoma (KEGG)[scr:188]; H00047 Gallbladder cancer (KEGG)[scr:159]; H01557 Hepatic angiosarcoma (KEGG)[scr:141]; H00027 Ovarian cancer (KEGG)[scr:113]; H00032 Thyroid cancer (KEGG)[scr:110]; H00044 Cancer of the anal canal (KEGG)[scr:94]; H00019 Pancreatic cancer (KEGG)[scr:91]; H00016 Oral cancer (KEGG)[scr:79]; H02301 Nephroblastoma (KEGG)[scr:71]; H01007 Choroid plexus papilloma (KEGG)[scr:71]; H00040 Squamous cell carcinoma (KEGG)[scr:71],,,
MET (P08581),inlB (P0DQD2); MET (P08581),R-HSA-8851805 MET activates RAS signaling[scr:416]; hsa04520 Adherens junction[scr:67]; hsa04015 Rap1 signaling pathway[scr:61]; hsa04014 Ras signaling pathway[scr:27]; hsa04151 PI3K-Akt signaling pathway[scr:24],HP:0006572 Subacute progressive viral hepatitis[scr:155]; HP:0006562 Viral hepatitis[scr:100],H00018 Gastric cancer (KEGG)[scr:9999999]; H00046 Cholangiocarcinoma (KEGG)[scr:188],DB07369 N-(3-chlorophenyl)-N-methyl-2-oxo-3-[(3-4-5-trimethyl-1H-pyrrol-2-yl)methyl]-2H-indole-5-sulfonamide[scr:85]; DB08791 1-[(2-NITROPHENYL)SULFONYL]-1H-PYRROLO[3-2-B]PYRIDINE-6-CARBOXAMIDE[scr:85]; DB13104 X-396[scr:1000000]; DB13113 JNJ-38877605[scr:1000000],CHEMBL4092293 (pChEMBL: 9) [scr:71.25]; CHEMBL3959443 (pChEMBL: 9) [scr:71.25]; CHEMBL3414922 (pChEMBL: 9) [scr:71.25]; CHEMBL3582305 (pChEMBL: 9.89) [scr:71.25]; CHEMBL3582300 (pChEMBL: 9.15) [scr:71.25]; CHEMBL3402761 (pChEMBL: 9) [scr:71.25]; CHEMBL3394472 (pChEMBL: 9) [scr:71.25],
RARB (P10826),,,,H00018 Gastric cancer (KEGG)[scr:9999999],,,
CDH1 (P12830),CDH1 (P12830); CAV1 (P33724),hsa04520 Adherens junction[scr:67]; hsa04015 Rap1 signaling pathway[scr:61]; hsa04371 Apelin signaling pathway[scr:45],HP:0100621 Dysgerminoma[scr:98],MONDO:0001056 gastric cancer (EFO)[scr:9999999]; MONDO:0008170 ovarian cancer (EFO)[scr:86]; EFO:0001075 ovarian carcinoma (EFO)[scr:86]; MONDO:0007648 hereditary diffuse gastric adenocarcinoma (EFO)[scr:76]; H00018 Gastric cancer (KEGG)[scr:9999999]; H00032 Thyroid cancer (KEGG)[scr:110],,,
FGFR2 (P21802),FGFR2 (P21802),R-HSA-2023837 Signaling by FGFR2 amplification mutants[scr:509]; R-HSA-8853333 Signaling by FGFR2 fusions[scr:509]; hsa04015 Rap1 signaling pathway[scr:61]; hsa04550 Signaling pathways regulating pluripotency of stem cells[scr:33]; hsa04014 Ras signaling pathway[scr:27]; hsa04151 PI3K-Akt signaling pathway[scr:24],HP:0100621 Dysgerminoma[scr:98]; HP:0004487 Acrobrachycephaly[scr:87]; HP:0011223 Metopic depression[scr:87]; HP:0004450 Preauricular skin furrow[scr:87],Orphanet:87 Apert syndrome (EFO)[scr:76]; Orphanet:1555 Cutis gyrata - acanthosis nigricans - craniosynostosis (EFO)[scr:76]; Orphanet:168624 Familial scaphocephaly syndrome- McGillivray type (EFO)[scr:76]; Orphanet:207 Crouzon disease (EFO)[scr:76]; Orphanet:83 Antley-Bixler syndrome (EFO)[scr:76]; H00018 Gastric cancer (KEGG)[scr:9999999]; H01755 Apert syndrome (KEGG)[scr:71]; H01989 Beare-Stevenson syndrome (KEGG)[scr:71],,,
CCNE1 (P24864),CCNE1 (P24864),R-HSA-8849470 PTK6 Regulates Cell Cycle[scr:339]; R-HSA-6804116 TP53 Regulates Transcription of Genes Involved in G1 Cell Cycle Arrest[scr:327]; R-HSA-69563 p53-Dependent G1 DNA Damage Response[scr:291]; hsa04218 Cellular senescence[scr:51]; hsa04151 PI3K-Akt signaling pathway[scr:24],,H00018 Gastric cancer (KEGG)[scr:9999999],,,
